"Id","ActivityDate","TotalSteps","TotalDistance","TotalActiveMinutes","SedentaryMinutes","Calories"
1503960366,"4/12/2016",13162,8.5,366,728,1985
1503960366,"4/13/2016",10735,6.96999979019165,257,776,1797
1503960366,"4/14/2016",10460,6.73999977111816,222,1218,1776
1503960366,"4/15/2016",9762,6.28000020980835,272,726,1745
1503960366,"4/16/2016",12669,8.15999984741211,267,773,1863
1503960366,"4/17/2016",9705,6.48000001907349,222,539,1728
1503960366,"4/18/2016",13019,8.59000015258789,291,1149,1921
1503960366,"4/19/2016",15506,9.88000011444092,345,775,2035
1503960366,"4/20/2016",10544,6.67999982833862,245,818,1786
1503960366,"4/21/2016",9819,6.34000015258789,238,838,1775
1503960366,"4/22/2016",12764,8.13000011444092,223,1217,1827
1503960366,"4/23/2016",14371,9.03999996185303,324,732,1949
1503960366,"4/24/2016",10039,6.40999984741211,282,709,1788
1503960366,"4/25/2016",15355,9.80000019073486,303,814,2013
1503960366,"4/26/2016",13755,8.78999996185303,333,833,1970
1503960366,"4/27/2016",18134,12.210000038147,332,1108,2159
1503960366,"4/28/2016",13154,8.52999973297119,265,782,1898
1503960366,"4/29/2016",11181,7.15000009536743,271,815,1837
1503960366,"4/30/2016",14673,9.25,303,712,1947
1503960366,"5/1/2016",10602,6.80999994277954,314,730,1820
1503960366,"5/2/2016",14727,9.71000003814697,333,798,2004
1503960366,"5/3/2016",15103,9.65999984741211,328,816,1990
1503960366,"5/4/2016",11100,7.15000009536743,261,1179,1819
1503960366,"5/5/2016",14070,8.89999961853027,319,857,1959
1503960366,"5/6/2016",12159,8.02999973297119,319,754,1896
1503960366,"5/7/2016",11992,7.71000003814697,258,833,1821
1503960366,"5/8/2016",10060,6.57999992370605,255,574,1740
1503960366,"5/9/2016",12022,7.71999979019165,263,835,1819
1503960366,"5/10/2016",12207,7.76999998092651,291,746,1859
1503960366,"5/11/2016",12770,8.13000011444092,310,669,1783
1503960366,"5/12/2016",0,0,0,1440,0
1624580081,"4/12/2016",8163,5.30999994277954,146,1294,1432
1624580081,"4/13/2016",7007,4.55000019073486,148,1292,1411
1624580081,"4/14/2016",9107,5.92000007629395,236,1204,1572
1624580081,"4/15/2016",1510,0.980000019073486,96,1344,1344
1624580081,"4/16/2016",5370,3.49000000953674,176,1264,1463
1624580081,"4/17/2016",6175,4.05999994277954,164,1276,1554
1624580081,"4/18/2016",10536,7.40999984741211,226,1214,1604
1624580081,"4/19/2016",2916,1.89999997615814,141,1299,1435
1624580081,"4/20/2016",4974,3.23000001907349,151,1289,1446
1624580081,"4/21/2016",6349,4.13000011444092,186,1254,1467
1624580081,"4/22/2016",4026,2.61999988555908,199,1241,1470
1624580081,"4/23/2016",8538,5.55000019073486,227,1213,1562
1624580081,"4/24/2016",6076,3.95000004768372,219,1221,1617
1624580081,"4/25/2016",6497,4.21999979019165,202,1238,1492
1624580081,"4/26/2016",2826,1.8400000333786,140,1300,1402
