Province_State;Country_Region;Confirmed;Deaths;Recovered;Active
Lesotho;Lesotho;8664;172;2552;5940
Liberia;Liberia;1939;84;1760;95
Libya;Libya;118631;1877;98706;18048
Liechtenstein;Liechtenstein;2493;52;2352;89
Lithuania;Lithuania;182539;2803;129175;50561
Luxembourg;Luxembourg;50388;577;47615;2196
MS Zaandam;MS Zaandam;9;2;7;0
Madagascar;Madagascar;19065;281;18215;569
Malawi;Malawi;23963;702;8615;14646
Malaysia;Malaysia;214959;760;166049;48150
Maldives;Maldives;15841;52;14139;1650
Mali;Mali;8091;330;5945;1816
Malta;Malta;17903;267;14960;2676
Marshall Islands;Marshall Islands;4;0;4;0
Mauritania;Mauritania;16635;422;15676;537
Mauritius;Mauritius;569;10;528;31
Aguascalientes;Mexico;21037;1729;0;19308
Baja California;Mexico;42199;6801;0;35398
Baja California Sur;Mexico;23489;958;0;22531
Campeche;Mexico;7962;1008;0;6954
Chiapas;Mexico;9331;1352;0;7979
Chihuahua;Mexico;40714;4920;0;35794
Ciudad de Mexico;Mexico;481327;22474;0;458853
Coahuila;Mexico;60370;5214;0;55156
Colima;Mexico;9476;927;0;8549
Durango;Mexico;28869;1873;0;26996
Guanajuato;Mexico;107381;7344;0;100037
Guerrero;Mexico;31457;3114;0;28343
Hidalgo;Mexico;31829;4609;0;27220
Jalisco;Mexico;70078;8526;0;61552
Mexico;Mexico;191963;24401;0;167562
Michoacan;Mexico;40315;3643;0;36672
Morelos;Mexico;19254;1868;0;17386
Nayarit;Mexico;10000;1335;0;8665
Nuevo Leon;Mexico;106878;6732;0;100146
Oaxaca;Mexico;35079;2536;0;32543
Puebla;Mexico;61772;7099;0;54673
Queretaro;Mexico;47467;2821;0;44646
Quintana Roo;Mexico;18828;2236;0;16592
San Luis Potosi;Mexico;50677;3776;0;46901
Sinaloa;Mexico;31262;4709;0;26553
Sonora;Mexico;62912;5277;0;57635
Tabasco;Mexico;52732;3499;0;49233
Tamaulipas;Mexico;48136;3918;0;44218
Tlaxcala;Mexico;15083;1846;0;13237
Veracruz;Mexico;50995;7198;0;43797
Yucatan;Mexico;30185;2707;0;27478
Zacatecas;Mexico;25203;2086;0;23117
Micronesia;Micronesia;1;0;1;0
Moldova;Moldova;159804;3438;150090;6276
Monaco;Monaco;1489;13;1257;219
Mongolia;Mongolia;1814;2;1358;454
Montenegro;Montenegro;61659;805;53527;7327
Morocco;Morocco;471157;8275;449160;13722
Mozambique;Mozambique;38654;367;23955;14332
Namibia;Namibia;33944;352;32378;1214
Nepal;Nepal;270959;2029;266336;2594
Aruba;Netherlands;6966;59;6566;341
Bonaire, Sint Eustatius and Saba;Netherlands;196;3;180;13
Curacao;Netherlands;4585;21;4496;68
Drenthe;Netherlands;18487;243;0;18244
Flevoland;Netherlands;23799;194;0;23605
Friesland;Netherlands;21412;262;0;21150
Gelderland;Netherlands;111632;1646;0;109986
Groningen;Netherlands;22163;157;0;22006
Limburg;Netherlands;63411;1293;0;62118
Noord-Brabant;Netherlands;153137;2671;0;150466
Noord-Holland;Netherlands;165004;2010;0;162994
Overijssel;Netherlands;69854;948;0;68906
Sint Maarten;Netherlands;1853;27;1668;158
Utrecht;Netherlands;78744;1017;0;77727
Zeeland;Netherlands;14362;158;0;14204
Zuid-Holland;Netherlands;234935;3389;0;231546
New Zealand;New Zealand;2304;25;2208;71
Nicaragua;Nicaragua;6253;169;4225;1859
Niger;Niger;4517;159;3755;603
Nigeria;Nigeria;131242;1586;104989;24667
North Macedonia;North Macedonia;92693;2855;81681;8157
Norway;Norway;62966;564;17998;44404
Oman;Oman;134326;1529;126854;5943
Azad Jammu and Kashmir;Pakistan;9019;262;8386;371
Balochistan;Pakistan;18823;195;18479;149
Gilgit-Baltistan;Pakistan;4909;102;4787;20
Islamabad;Pakistan;41418;475;39562;1381
Khyber Pakhtunkhwa;Pakistan;67214;1906;62385;2923
Punjab;Pakistan;157796;4747;142989;10060
Sindh;Pakistan;247249;3996;224664;18589
Panama;Panama;320379;5270;276417;38692
Papua New Guinea;Papua New Guinea;851;9;812;30
Paraguay;Paraguay;133227;2718;108426;22083
Amazonas;Peru;19645;279;0;19366
Ancash;Peru;36634;1676;0;34958
Apurimac;Peru;9585;205;0;9380
Arequipa;Peru;53481;1773;0;51708
Ayacucho;Peru;16869;412;0;16457
Cajamarca;Peru;28557;677;0;27880
Callao;Peru;48365;2141;0;46224
Cusco;Peru;28377;612;0;27765
Huancavelica;Peru;8502;178;0;8324
Huanuco;Peru;23291;625;0;22666
Ica;Peru;35679;1944;0;33735
Junin;Peru;34917;1145;0;33772
La Libertad;Peru;40002;2631;0;37371
Lambayeque;Peru;35543;2036;0;33507
Lima;Peru;507596;17927;0;489669
Loreto;Peru;27316;1053;0;26263
Madre de Dios;Peru;9765;167;0;9598
Moquegua;Peru;17892;405;0;17487
Pasco;Peru;7786;185;0;7601
Piura;Peru;46163;2307;0;43856
Puno;Peru;20909;469;0;20440
San Martin;Peru;27558;830;0;26728
Tacna;Peru;16817;373;0;16444
Tumbes;Peru;10329;380;0;9949
Ucayali;Peru;21444;427;0;21017
Philippines;Philippines;525618;10749;487551;27318
Poland;Poland;1513385;37180;1270467;205738
Portugal;Portugal;720516;12482;526411;181623
Qatar;Qatar;151335;248;145806;5281
Romania;Romania;728743;18335;674594;35814
Adygea Republic;Russia;13035;119;11163;1753
Altai Krai;Russia;39004;1186;35103;2715
Altai Republic;Russia;15427;134;14278;1015
Amur Oblast;Russia;19481;140;17779;1562
Arkhangelsk Oblast;Russia;51223;468;43760;6995
Astrakhan Oblast;Russia;24461;484;15232;8745
Bashkortostan Republic;Russia;24247;185;18340;5722
Belgorod Oblast;Russia;27451;372;24842;2237
Bryansk Oblast;Russia;29078;239;27817;1022
Buryatia Republic;Russia;30417;666;28003;1748
Chechen Republic;Russia;10789;108;9572;1109
Chelyabinsk Oblast;Russia;43822;780;32513;10529
Chukotka Autonomous Okrug;Russia;633;4;574;55
Chuvashia Republic;Russia;19467;876;17538;1053
Dagestan Republic;Russia;27943;1244;24909;1790
Ingushetia Republic;Russia;13957;160;12149;1648
Irkutsk Oblast;Russia;48670;1563;43584;3523
Ivanovo Oblast;Russia;26769;753;23132;2884
Jewish Autonomous Okrug;Russia;4169;106;3750;313
Kabardino-Balkarian Republic;Russia;18775;326;17513;936
Kaliningrad Oblast;Russia;24078;218;21256;2604
Kalmykia Republic;Russia;17424;254;15215;1955
Kaluga Oblast;Russia;25985;218;23745;2022
Kamchatka Krai;Russia;12285;84;10877;1324
Karachay-Cherkess Republic;Russia;17570;53;15867;1650
Karelia Republic;Russia;35905;230;30806;4869
Kemerovo Oblast;Russia;29344;521;27377;1446
Khabarovsk Krai;Russia;44523;253;40472;3798
Khakassia Republic;Russia;20391;384;18851;1156
Khanty-Mansi Autonomous Okrug;Russia;47656;666;44391;2599
Kirov Oblast;Russia;32384;266;27124;4994
Komi Republic;Russia;36383;690;35095;598
Kostroma Oblast;Russia;17019;287;13805;2927
Krasnodar Krai;Russia;33681;1469;24652;7560
Krasnoyarsk Krai;Russia;56435;2345;52000;2090
Kurgan Oblast;Russia;15235;213;13426;1596
Kursk Oblast;Russia;26283;370;23105;2808
Leningrad Oblast;Russia;30701;427;27820;2454
Lipetsk Oblast;Russia;20933;369;16940;3624
Magadan Oblast;Russia;7853;88;7424;341
Mari El Republic;Russia;10663;156;9321;1186
Mordovia Republic;Russia;16042;138;13504;2400
Moscow;Russia;930072;13434;814728;101910
Moscow Oblast;Russia;192742;3764;153099;35879
Murmansk Oblast;Russia;43160;822;40129;2209
Nenets Autonomous Okrug;Russia;917;0;780;137
Nizhny Novgorod Oblast;Russia;84436;2118;76617;5701
North Ossetia - Alania Republic;Russia;14446;118;12898;1430
Novgorod Oblast;Russia;24045;110;20034;3901
Novosibirsk Oblast;Russia;32251;1225;29655;1371
Omsk Oblast;Russia;37247;1084;34057;2106
Orel Oblast;Russia;26721;349;23555;2817
Orenburg Oblast;Russia;34085;476;30271;3338
Penza Oblast;Russia;32711;382;25891;6438
Perm Krai;Russia;39801;1442;32957;5402
Primorsky Krai;Russia;36338;525;27725;8088
Pskov Oblast;Russia;29328;132;17638;11558
Rostov Oblast;Russia;63695;2640;53301;7754
Ryazan Oblast;Russia;21902;227;19971;1704
Saint Petersburg;Russia;334116;9733;230486;93897
Sakha (Yakutiya) Republic;Russia;30611;489;27794;2328
Sakhalin Oblast;Russia;19683;25;16958;2700
Samara Oblast;Russia;40298;820;37157;2321
Saratov Oblast;Russia;43192;540;37809;4843
Smolensk Oblast;Russia;22362;458;19434;2470
Stavropol Krai;Russia;42484;930;38240;3314
Sverdlovsk Oblast;Russia;70472;2034;63074;5364
Tambov Oblast;Russia;22551;270;20835;1446
Tatarstan Republic;Russia;16046;283;12525;3238
Tomsk Oblast;Russia;28234;263;25395;2576
Tula Oblast;Russia;28926;1009;26165;1752
Tver Oblast;Russia;29070;516;25171;3383
Tyumen Oblast;Russia;28229;246;26521;1462
Tyva Republic;Russia;15403;187;14225;991
Udmurt Republic;Russia;25539;503;21941;3095
Ulyanovsk Oblast;Russia;43779;625;40137;3017
Vladimir Oblast;Russia;23494;683;20656;2155
Volgograd Oblast;Russia;43352;608;41371;1373
Vologda Oblast;Russia;32839;615;28062;4162
Voronezh Oblast;Russia;58219;1566;52299;4354
Yamalo-Nenets Autonomous Okrug;Russia;35615;378;31679;3558
Yaroslavl Oblast;Russia;28121;319;26415;1387
Zabaykalsky Krai;Russia;34225;469;32332;1424
Rwanda;Rwanda;15304;196;10087;5021
Saint Kitts and Nevis;Saint Kitts and Nevis;37;0;35;2
Saint Lucia;Saint Lucia;1195;13;618;564
Saint Vincent and the Grenadines;Saint Vincent and the Grenadines;901;2;251;648
Samoa;Samoa;2;0;2;0
San Marino;San Marino;3025;67;2723;235
Sao Tome and Principe;Sao Tome and Principe;1257;17;1023;217
Saudi Arabia;Saudi Arabia;368074;6375;359573;2126
Senegal;Senegal;26523;628;21970;3925
Serbia;Serbia;395263;4020;0;391243
Seychelles;Seychelles;1205;4;1015;186
Sierra Leone;Sierra Leone;3593;79;2282;1232
Singapore;Singapore;59536;29;59228;279
Slovakia;Slovakia;249913;4642;216052;29219
Slovenia;Slovenia;166473;3503;145722;17248
Solomon Islands;Solomon Islands;17;0;10;7
Somalia;Somalia;4784;130;3666;988
South Africa;South Africa;1453761;44164;1299620;109977
South Sudan;South Sudan;3929;64;3613;252
Andalusia;Spain;391102;6260;10671;374171
Aragon;Spain;96962;2918;3772;90272
Asturias;Spain;35966;1505;1063;33398
Baleares;Spain;51575;577;1533;49465
C. Valenciana;Spain;298389;4633;9970;283786
Canarias;Spain;35014;524;1537;32953
Cantabria;Spain;22186;453;2287;19446
Castilla - La Mancha;Spain;148459;4542;6392;137525
Castilla y Leon;Spain;184134;5610;8716;169808
Catalonia;Spain;492228;9404;26203;456621
Ceuta;Spain;3904;71;163;3670
Extremadura;Spain;64241;1429;2652;60160
Galicia;Spain;93195;1711;9204;82280
La Rioja;Spain;25224;638;3107;21479
Madrid;Spain;515790;12578;40736;462476
Melilla;Spain;5957;51;125;5781
Murcia;Spain;97921;1066;2180;94675
Navarra;Spain;48104;1028;3905;43171
Pais Vasco;Spain;132768;3321;16160;113287
Sri Lanka;Sri Lanka;64157;316;57159;6682
Sudan;Sudan;29380;1807;21410;6163
Suriname;Suriname;8438;154;7671;613
Blekinge;Sweden;7271;88;0;7183
Dalarna;Sweden;13304;297;0;13007
Gavleborg;Sweden;18123;462;0;17661
Gotland;Sweden;2602;42;0;2560
Halland;Sweden;18787;220;0;18567
Jamtland Harjedalen;Sweden;5777;100;0;5677
Jonkoping;Sweden;22272;453;0;21819
Kalmar;Sweden;9679;175;0;9504
Kronoberg;Sweden;12054;270;0;11784
Norrbotten;Sweden;10090;188;0;9902
Orebro;Sweden;16162;265;0;15897
Ostergotland;Sweden;19441;477;0;18964
Skane;Sweden;96713;1279;0;95434
Sormland;Sweden;11587;378;0;11209
Stockholm;Sweden;137344;3714;0;133630
Uppsala;Sweden;21478;447;0;21031
Varmland;Sweden;7663;156;0;7507
Vasterbotten;Sweden;10323;115;0;10208
Vasternorrland;Sweden;12991;353;0;12638
Vastmanland;Sweden;16665;299;0;16366
Vastra Gotaland;Sweden;96631;1813;0;94818
