"dates";"discussion_1";"discussion_2";"discussion_3";"discussion_4"
"1";2025-12-13 16:00:45;9.97175148945981;11.4805231245894;4.56948460047507;4.34795385920711
"2";2025-12-13 16:02:25;12.153060651148;12.5855659343937;6.13408397455654;4.05678439632001
"3";2025-12-13 16:04:05;11.3392065356688;11.7427482339511;5.72330272111848;3.7851136813183
"4";2025-12-13 16:05:45;13.4082865548417;11.8894045051238;7.2423530678278;4.46466893292412
"5";2025-12-13 16:07:26;13.4340916764439;12.9528817765469;6.75267213044697;6.04782146395358
"6";2025-12-13 16:09:06;14.4221047511287;12.0854660329941;6.30046587873817;5.64281695279312
"7";2025-12-13 16:10:46;13.4562995402028;13.1571984835464;6.81157551845146;6.19796737369598
"8";2025-12-13 16:12:27;12.5464718487313;15.1126589982274;8.22488591572614;5.77890102261052
"9";2025-12-13 16:14:07;12.6393051537909;15.0336424267286;7.67408991099891;6.32493830045822
"10";2025-12-13 16:15:48;14.6383396899444;14.949551527042;8.08760421515345;5.89728699889399
"11";2025-12-13 16:17:28;13.6580538720408;14.8814577749464;8.47903454676713;5.50236333052918
"12";2025-12-13 16:19:08;12.7434148628011;15.7535475555552;8.84425196005088;5.13388651880607
"13";2025-12-13 16:20:49;14.6886668389004;16.614562433999;8.24626101019391;4.78676641303501
"14";2025-12-13 16:22:29;14.6380437539235;16.434967882406;7.69403357933456;5.39924397767878
"15";2025-12-13 16:24:10;14.5807006704662;15.3237419585787;7.17381293556276;5.03418212176314
"16";2025-12-13 16:25:50;14.5373077568046;15.2305897926876;6.69340414399356;5.63009099654659
"17";2025-12-13 16:27:30;13.5637877452227;16.1076055564187;9.07641782450514;5.25306064513231
"18";2025-12-13 16:29:11;13.57907888498;15.9509002360965;8.46272932482298;4.89788275795451
"19";2025-12-13 16:30:52;15.4769594503033;16.7814988420375;8.82292094727448;4.56671969566875
"20";2025-12-13 16:32:33;14.4305078425936;16.5792292289079;8.22637226213918;5.1903342180233
"21";2025-12-13 16:34:17;14.3573107403249;15.4261381610172;10.4932563948186;5.75979435422704
"22";2025-12-13 16:35:57;14.3288775820057;14.393095836234;11.6775469471047;5.37407815696127
"23";2025-12-13 16:37:38;14.2924383097066;14.3523145421316;10.8879869682121;5.94310433704288
"24";2025-12-13 16:39:18;14.2683494639977;13.3911829727223;11.0918840443015;6.4781454101433
"25";2025-12-13 16:40:58;13.3128407846863;16.4039820812838;12.2249112790891;6.04432339163644
"26";2025-12-13 16:42:39;15.2790235682752;15.294851216341;11.3983420745119;5.63564545001586
"27";2025-12-13 16:44:22;15.1573145163153;15.1720515574394;12.486163353966;6.1784151047398
"28";2025-12-13 16:46:02;16.9978367445923;14.1560246523884;11.6500023469681;5.76466512813157
